"Basketball Diaries, The (1995)","Basketball Diaries, The (1995)"
Batman & Robin (1997),Batman & Robin (1997)
Batman (1989),Batman (1989)
Batman Begins (2005),Batman Begins (2005)
Batman Forever (1995),Batman Forever (1995)
Batman Returns (1992),Batman Returns (1992)
Batman v Superman: Dawn of Justice (2016),Batman v Superman: Dawn of Justice (2016)
Batman: Mask of the Phantasm (1993),Batman: Mask of the Phantasm (1993)
Battle Royale (Batoru rowaiaru) (2000),Battle Royale (Batoru rowaiaru) (2000)
Battlefield Earth (2000),Battlefield Earth (2000)
Battlestar Galactica (2003),Battlestar Galactica (2003)
"Beach, The (2000)","Beach, The (2000)"
Bean (1997),Bean (1997)
"Beautiful Mind, A (2001)","Beautiful Mind, A (2001)"
Beauty and the Beast (1991),Beauty and the Beast (1991)
Beauty of the Day (Belle de jour) (1967),Beauty of the Day (Belle de jour) (1967)
Beavis and Butt-Head Do America (1996),Beavis and Butt-Head Do America (1996)
Bedazzled (2000),Bedazzled (2000)
Bedknobs and Broomsticks (1971),Bedknobs and Broomsticks (1971)
Bedtime Stories (2008),Bedtime Stories (2008)
Beethoven (1992),Beethoven (1992)
Beetlejuice (1988),Beetlejuice (1988)
Before Sunrise (1995),Before Sunrise (1995)
Before Sunset (2004),Before Sunset (2004)
Behind Enemy Lines (2001),Behind Enemy Lines (2001)
Being John Malkovich (1999),Being John Malkovich (1999)
Being There (1979),Being There (1979)
Ben-Hur (1959),Ben-Hur (1959)
"Benchwarmers, The (2006)","Benchwarmers, The (2006)"
Bend It Like Beckham (2002),Bend It Like Beckham (2002)
Beneath the Planet of the Apes (1970),Beneath the Planet of the Apes (1970)
Benny & Joon (1993),Benny & Joon (1993)
Best in Show (2000),Best in Show (2000)
Better Off Dead... (1985),Better Off Dead... (1985)
"Beverly Hillbillies, The (1993)","Beverly Hillbillies, The (1993)"
Beverly Hills Cop (1984),Beverly Hills Cop (1984)
Beverly Hills Cop II (1987),Beverly Hills Cop II (1987)
Beverly Hills Cop III (1994),Beverly Hills Cop III (1994)
Beverly Hills Ninja (1997),Beverly Hills Ninja (1997)
Bewitched (2005),Bewitched (2005)
Bicentennial Man (1999),Bicentennial Man (1999)
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948)
Big (1988),Big (1988)
"Big Blue, The (Grand bleu, Le) (1988)","Big Blue, The (Grand bleu, Le) (1988)"
"Big Chill, The (1983)","Big Chill, The (1983)"
Big Daddy (1999),Big Daddy (1999)
Big Fish (2003),Big Fish (2003)
Big Hero 6 (2014),Big Hero 6 (2014)
"Big Lebowski, The (1998)","Big Lebowski, The (1998)"
Big Momma's House (2000),Big Momma's House (2000)
Big Night (1996),Big Night (1996)
"Big Short, The (2015)","Big Short, The (2015)"
"Big Sleep, The (1946)","Big Sleep, The (1946)"
Big Trouble in Little China (1986),Big Trouble in Little China (1986)
Bill & Ted's Bogus Journey (1991),Bill & Ted's Bogus Journey (1991)
Bill & Ted's Excellent Adventure (1989),Bill & Ted's Excellent Adventure (1989)
Billy Elliot (2000),Billy Elliot (2000)
Billy Madison (1995),Billy Madison (1995)
Bio-Dome (1996),Bio-Dome (1996)
"Birdcage, The (1996)","Birdcage, The (1996)"
Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
"Birds, The (1963)","Birds, The (1963)"
Black Beauty (1994),Black Beauty (1994)
Black Hawk Down (2001),Black Hawk Down (2001)
Black Panther (2017),Black Panther (2017)
Black Sheep (1996),Black Sheep (1996)
Black Swan (2010),Black Swan (2010)
Blade (1998),Blade (1998)
Blade II (2002),Blade II (2002)
Blade Runner (1982),Blade Runner (1982)
Blade Runner 2049 (2017),Blade Runner 2049 (2017)
Blade: Trinity (2004),Blade: Trinity (2004)
Blades of Glory (2007),Blades of Glory (2007)
"Blair Witch Project, The (1999)","Blair Witch Project, The (1999)"
Blast from the Past (1999),Blast from the Past (1999)
Blazing Saddles (1974),Blazing Saddles (1974)
"Blind Side, The  (2009)","Blind Side, The  (2009)"
"Blind Swordsman: Zatoichi, The (Zatôichi) (2003)","Blind Swordsman: Zatoichi, The (Zatôichi) (2003)"
Blood Diamond (2006),Blood Diamond (2006)
Blood Simple (1984),Blood Simple (1984)
Blow (2001),Blow (2001)
"Blue Lagoon, The (1980)","Blue Lagoon, The (1980)"
Blue Velvet (1986),Blue Velvet (1986)
Blues Brothers 2000 (1998),Blues Brothers 2000 (1998)
"Blues Brothers, The (1980)","Blues Brothers, The (1980)"
Bob Roberts (1992),Bob Roberts (1992)
Body of Lies (2008),Body of Lies (2008)
"Bodyguard, The (1992)","Bodyguard, The (1992)"
Boiler Room (2000),Boiler Room (2000)
Bolt (2008),Bolt (2008)
"Bone Collector, The (1999)","Bone Collector, The (1999)"
Bonnie and Clyde (1967),Bonnie and Clyde (1967)
Boogie Nights (1997),Boogie Nights (1997)
"Book of Eli, The (2010)","Book of Eli, The (2010)"
Boomerang (1992),Boomerang (1992)
"Boondock Saints, The (2000)","Boondock Saints, The (2000)"
"Boot, Das (Boat, The) (1981)","Boot, Das (Boat, The) (1981)"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
Born on the Fourth of July (1989),Born on the Fourth of July (1989)
"Borrowers, The (1997)","Borrowers, The (1997)"
Bottle Rocket (1996),Bottle Rocket (1996)
Bound (1996),Bound (1996)
"Bourne Identity, The (2002)","Bourne Identity, The (2002)"
"Bourne Legacy, The (2012)","Bourne Legacy, The (2012)"
"Bourne Supremacy, The (2004)","Bourne Supremacy, The (2004)"
"Bourne Ultimatum, The (2007)","Bourne Ultimatum, The (2007)"
Bowfinger (1999),Bowfinger (1999)
Bowling for Columbine (2002),Bowling for Columbine (2002)
Boxing Helena (1993),Boxing Helena (1993)
Boyhood (2014),Boyhood (2014)
Boys Don't Cry (1999),Boys Don't Cry (1999)
Boys on the Side (1995),Boys on the Side (1995)
Boyz N the Hood (1991),Boyz N the Hood (1991)
"Brady Bunch Movie, The (1995)","Brady Bunch Movie, The (1995)"
Brave (2012),Brave (2012)
Braveheart (1995),Braveheart (1995)
Brazil (1985),Brazil (1985)
"Break-Up, The (2006)","Break-Up, The (2006)"
Breakdown (1997),Breakdown (1997)
"Breakfast Club, The (1985)","Breakfast Club, The (1985)"
Breakfast at Tiffany's (1961),Breakfast at Tiffany's (1961)
Breaking Away (1979),Breaking Away (1979)
Brick (2005),Brick (2005)
Bridesmaids (2011),Bridesmaids (2011)
"Bridge on the River Kwai, The (1957)","Bridge on the River Kwai, The (1957)"
"Bridges of Madison County, The (1995)","Bridges of Madison County, The (1995)"
Bridget Jones's Diary (2001),Bridget Jones's Diary (2001)
Bridget Jones: The Edge of Reason (2004),Bridget Jones: The Edge of Reason (2004)
Bring It On (2000),Bring It On (2000)
Bringing Up Baby (1938),Bringing Up Baby (1938)
Broadcast News (1987),Broadcast News (1987)
Brokeback Mountain (2005),Brokeback Mountain (2005)
Broken Arrow (1996),Broken Arrow (1996)
Broken Flowers (2005),Broken Flowers (2005)
"Bronx Tale, A (1993)","Bronx Tale, A (1993)"
"Brotherhood of the Wolf (Pacte des loups, Le) (2001)","Brotherhood of the Wolf (Pacte des loups, Le) (2001)"
"Brothers Grimm, The (2005)","Brothers Grimm, The (2005)"
"Brothers McMullen, The (1995)","Brothers McMullen, The (1995)"
Bruce Almighty (2003),Bruce Almighty (2003)
Bubba Ho-tep (2002),Bubba Ho-tep (2002)
"Bucket List, The (2007)","Bucket List, The (2007)"
Buffalo '66 (a.k.a. Buffalo 66) (1998),Buffalo '66 (a.k.a. Buffalo 66) (1998)
Buffy the Vampire Slayer (1992),Buffy the Vampire Slayer (1992)
"Bug's Life, A (1998)","Bug's Life, A (1998)"
Bull Durham (1988),Bull Durham (1988)
Bulletproof Monk (2003),Bulletproof Monk (2003)
Bullets Over Broadway (1994),Bullets Over Broadway (1994)
Bulworth (1998),Bulworth (1998)
Burn After Reading (2008),Burn After Reading (2008)
Butch Cassidy and the Sundance Kid (1969),Butch Cassidy and the Sundance Kid (1969)
"Cabin in the Woods, The (2012)","Cabin in the Woods, The (2012)"
"Cable Guy, The (1996)","Cable Guy, The (1996)"
Caddyshack (1980),Caddyshack (1980)
Can't Hardly Wait (1998),Can't Hardly Wait (1998)
Canadian Bacon (1995),Canadian Bacon (1995)
Candyman (1992),Candyman (1992)
Cape Fear (1962),Cape Fear (1962)
Cape Fear (1991),Cape Fear (1991)
Capote (2005),Capote (2005)
Captain America: Civil War (2016),Captain America: Civil War (2016)
Captain America: The First Avenger (2011),Captain America: The First Avenger (2011)
Captain America: The Winter Soldier (2014),Captain America: The Winter Soldier (2014)
Captain Phillips (2013),Captain Phillips (2013)
Carlito's Way (1993),Carlito's Way (1993)
Carrie (1976),Carrie (1976)
Cars (2006),Cars (2006)
Casablanca (1942),Casablanca (1942)
Casino (1995),Casino (1995)
Casino Royale (2006),Casino Royale (2006)
Casper (1995),Casper (1995)
Cast Away (2000),Cast Away (2000)
Catch Me If You Can (2002),Catch Me If You Can (2002)
Cats & Dogs (2001),Cats & Dogs (2001)
"Celebration, The (Festen) (1998)","Celebration, The (Festen) (1998)"
"Cell, The (2000)","Cell, The (2000)"
Chain Reaction (1996),Chain Reaction (1996)
Charade (1963),Charade (1963)
Chariots of Fire (1981),Chariots of Fire (1981)
Charlie and the Chocolate Factory (2005),Charlie and the Chocolate Factory (2005)
Charlie's Angels (2000),Charlie's Angels (2000)
Charlie's Angels: Full Throttle (2003),Charlie's Angels: Full Throttle (2003)
Charlotte's Web (1973),Charlotte's Web (1973)
Chasing Amy (1997),Chasing Amy (1997)
Cheech and Chong's Up in Smoke (1978),Cheech and Chong's Up in Smoke (1978)
Chicago (2002),Chicago (2002)
Chicken Run (2000),Chicken Run (2000)
Child's Play (1988),Child's Play (1988)
Children of Men (2006),Children of Men (2006)
Children of a Lesser God (1986),Children of a Lesser God (1986)
Children of the Corn (1984),Children of the Corn (1984)
Chinatown (1974),Chinatown (1974)
Chitty Chitty Bang Bang (1968),Chitty Chitty Bang Bang (1968)
Chocolat (2000),Chocolat (2000)
"Chorus, The (Choristes, Les) (2004)","Chorus, The (Choristes, Les) (2004)"
"Christmas Story, A (1983)","Christmas Story, A (1983)"
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Christmas Vacation (National Lampoon's Christmas Vacation) (1989)
"Chronicles of Narnia: Prince Caspian, The (2008)","Chronicles of Narnia: Prince Caspian, The (2008)"
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)"
"Chronicles of Riddick, The (2004)","Chronicles of Riddick, The (2004)"
"Cider House Rules, The (1999)","Cider House Rules, The (1999)"
Cinderella (1950),Cinderella (1950)
Cinderella Man (2005),Cinderella Man (2005)
Cinema Paradiso (Nuovo cinema Paradiso) (1989),Cinema Paradiso (Nuovo cinema Paradiso) (1989)
Circle of Friends (1995),Circle of Friends (1995)
Citizen Kane (1941),Citizen Kane (1941)
City Hall (1996),City Hall (1996)
City Lights (1931),City Lights (1931)
City Slickers (1991),City Slickers (1991)
City Slickers II: The Legend of Curly's Gold (1994),City Slickers II: The Legend of Curly's Gold (1994)
City of Angels (1998),City of Angels (1998)
City of God (Cidade de Deus) (2002),City of God (Cidade de Deus) (2002)
"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La) (1995)"
"Civil Action, A (1998)","Civil Action, A (1998)"
Clash of the Titans (2010),Clash of the Titans (2010)
Clear and Present Danger (1994),Clear and Present Danger (1994)
Clerks (1994),Clerks (1994)
Clerks II (2006),Clerks II (2006)
Click (2006),Click (2006)
"Client, The (1994)","Client, The (1994)"
Cliffhanger (1993),Cliffhanger (1993)
Clockers (1995),Clockers (1995)
"Clockwork Orange, A (1971)","Clockwork Orange, A (1971)"
Close Encounters of the Third Kind (1977),Close Encounters of the Third Kind (1977)
Closer (2004),Closer (2004)
Cloud Atlas (2012),Cloud Atlas (2012)
Cloudy with a Chance of Meatballs (2009),Cloudy with a Chance of Meatballs (2009)
Cloverfield (2008),Cloverfield (2008)
Clue (1985),Clue (1985)
Clueless (1995),Clueless (1995)
Cocktail (1988),Cocktail (1988)
Coco (2017),Coco (2017)
Cocoon (1985),Cocoon (1985)
Cold Mountain (2003),Cold Mountain (2003)
Collateral (2004),Collateral (2004)
"Color Purple, The (1985)","Color Purple, The (1985)"
"Color of Money, The (1986)","Color of Money, The (1986)"
Coming to America (1988),Coming to America (1988)
"Commitments, The (1991)","Commitments, The (1991)"
Con Air (1997),Con Air (1997)
Conan the Barbarian (1982),Conan the Barbarian (1982)
Coneheads (1993),Coneheads (1993)
Confessions of a Dangerous Mind (2002),Confessions of a Dangerous Mind (2002)
Congo (1995),Congo (1995)
Conquest of the Planet of the Apes (1972),Conquest of the Planet of the Apes (1972)
Conspiracy Theory (1997),Conspiracy Theory (1997)
"Constant Gardener, The (2005)","Constant Gardener, The (2005)"
Constantine (2005),Constantine (2005)
Contact (1997),Contact (1997)
Contagion (2011),Contagion (2011)
"Conversation, The (1974)","Conversation, The (1974)"
"Cook the Thief His Wife & Her Lover, The (1989)","Cook the Thief His Wife & Her Lover, The (1989)"
Cookie's Fortune (1999),Cookie's Fortune (1999)
Cool Hand Luke (1967),Cool Hand Luke (1967)
Cool Runnings (1993),Cool Runnings (1993)
Cop Land (1997),Cop Land (1997)
Copycat (1995),Copycat (1995)
Coraline (2009),Coraline (2009)
Corpse Bride (2005),Corpse Bride (2005)
"Corrina, Corrina (1994)","Corrina, Corrina (1994)"
Courage Under Fire (1996),Courage Under Fire (1996)
Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001),Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira) (2001)
Coyote Ugly (2000),Coyote Ugly (2000)
"Craft, The (1996)","Craft, The (1996)"
Crank (2006),Crank (2006)
Crash (1996),Crash (1996)
Crash (2004),Crash (2004)
"Crazy, Stupid, Love. (2011)","Crazy, Stupid, Love. (2011)"
Creature Comforts (1989),Creature Comforts (1989)
Creepshow (1982),Creepshow (1982)
Crimes and Misdemeanors (1989),Crimes and Misdemeanors (1989)
Crimson Tide (1995),Crimson Tide (1995)
Crocodile Dundee (1986),Crocodile Dundee (1986)
Crocodile Dundee II (1988),Crocodile Dundee II (1988)
Crocodile Dundee in Los Angeles (2001),Crocodile Dundee in Los Angeles (2001)
"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)"
Croupier (1998),Croupier (1998)
"Crow, The (1994)","Crow, The (1994)"
"Crow: City of Angels, The (1996)","Crow: City of Angels, The (1996)"
Cruel Intentions (1999),Cruel Intentions (1999)
Crumb (1994),Crumb (1994)
"Crying Game, The (1992)","Crying Game, The (1992)"
Cube (1997),Cube (1997)
"Curious Case of Benjamin Button, The (2008)","Curious Case of Benjamin Button, The (2008)"
Cutthroat Island (1995),Cutthroat Island (1995)
"Cutting Edge, The (1992)","Cutting Edge, The (1992)"
Cyrano de Bergerac (1990),Cyrano de Bergerac (1990)
"Da Vinci Code, The (2006)","Da Vinci Code, The (2006)"
Dallas Buyers Club (2013),Dallas Buyers Club (2013)
Dancer in the Dark (2000),Dancer in the Dark (2000)
Dances with Wolves (1990),Dances with Wolves (1990)
Dangerous Liaisons (1988),Dangerous Liaisons (1988)
Dangerous Minds (1995),Dangerous Minds (1995)
Dante's Peak (1997),Dante's Peak (1997)
Daredevil (2003),Daredevil (2003)
"Darjeeling Limited, The (2007)","Darjeeling Limited, The (2007)"
Dark City (1998),Dark City (1998)
"Dark Crystal, The (1982)","Dark Crystal, The (1982)"
"Dark Knight Rises, The (2012)","Dark Knight Rises, The (2012)"
"Dark Knight, The (2008)","Dark Knight, The (2008)"
"Das Experiment (Experiment, The) (2001)","Das Experiment (Experiment, The) (2001)"
Date Night (2010),Date Night (2010)
Dave (1993),Dave (1993)
Dawn of the Dead (1978),Dawn of the Dead (1978)
Dawn of the Dead (2004),Dawn of the Dead (2004)
Dawn of the Planet of the Apes (2014),Dawn of the Planet of the Apes (2014)
"Day After Tomorrow, The (2004)","Day After Tomorrow, The (2004)"
"Day the Earth Stood Still, The (1951)","Day the Earth Stood Still, The (1951)"
Daylight (1996),Daylight (1996)
Days of Thunder (1990),Days of Thunder (1990)
Dazed and Confused (1993),Dazed and Confused (1993)
Dead Again (1991),Dead Again (1991)
Dead Calm (1989),Dead Calm (1989)
Dead Man (1995),Dead Man (1995)
Dead Man Walking (1995),Dead Man Walking (1995)
Dead Men Don't Wear Plaid (1982),Dead Men Don't Wear Plaid (1982)
Dead Poets Society (1989),Dead Poets Society (1989)
"Dead Zone, The (1983)","Dead Zone, The (1983)"
Deadpool (2016),Deadpool (2016)
Deadpool 2 (2018),Deadpool 2 (2018)
Death Becomes Her (1992),Death Becomes Her (1992)
Death Proof (2007),Death Proof (2007)
Death to Smoochy (2002),Death to Smoochy (2002)
Deep Blue Sea (1999),Deep Blue Sea (1999)
Deep Impact (1998),Deep Impact (1998)
"Deer Hunter, The (1978)","Deer Hunter, The (1978)"
"Definitely, Maybe (2008)","Definitely, Maybe (2008)"
Delicatessen (1991),Delicatessen (1991)
Deliverance (1972),Deliverance (1972)
Demolition Man (1993),Demolition Man (1993)
"Departed, The (2006)","Departed, The (2006)"
"Descendants, The (2011)","Descendants, The (2011)"
"Descent, The (2005)","Descent, The (2005)"
Desperado (1995),Desperado (1995)
Desperately Seeking Susan (1985),Desperately Seeking Susan (1985)
Despicable Me (2010),Despicable Me (2010)
Despicable Me 2 (2013),Despicable Me 2 (2013)
Deuce Bigalow: Male Gigolo (1999),Deuce Bigalow: Male Gigolo (1999)
"Devil Wears Prada, The (2006)","Devil Wears Prada, The (2006)"
Devil in a Blue Dress (1995),Devil in a Blue Dress (1995)
"Devil's Own, The (1997)","Devil's Own, The (1997)"
Diabolique (1996),Diabolique (1996)
Dial M for Murder (1954),Dial M for Murder (1954)
Diamonds Are Forever (1971),Diamonds Are Forever (1971)
Dick Tracy (1990),Dick Tracy (1990)
